ID_Cliente,Nome,Idade,Genero,Localizacao,Status_Fidelidade
39,Maria Lima,47,Masculino,Belo Horizonte,VIP
40,Lucas Lima,67,Feminino,Curitiba,Novo
41,Lucas Almeida,37,Masculino,Belo Horizonte,Novo
42,Carlos Lima,26,Masculino,Belo Horizonte,VIP
43,Maria Silva,41,Feminino,Salvador,VIP
44,Paulo Fernandes,51,Feminino,Belo Horizonte,VIP
45,Pedro Lima,65,Feminino,Belo Horizonte,Inativo
46,Pedro Lima,43,Feminino,São Paulo,Inativo
47,Ana Almeida,54,Masculino,Curitiba,Novo
48,Ana Gomes,42,Feminino,Belo Horizonte,Ativo
49,Maria Pereira,40,Feminino,Salvador,Ativo
50,Camila Fernandes,43,Feminino,Rio de Janeiro,Inativo
51,Maria Fernandes,34,Feminino,Salvador,Ativo
52,Camila Almeida,30,Masculino,Rio de Janeiro,Ativo
53,Carlos Souza,25,Masculino,Curitiba,Novo
54,Carlos Souza,45,Feminino,Rio de Janeiro,VIP
55,Francisca Costa,39,Masculino,Salvador,VIP
56,Maria Souza,26,Masculino,Curitiba,VIP
57,Pedro Santos,45,Feminino,Curitiba,Novo
58,Lucas Pereira,55,Masculino,São Paulo,VIP
59,Carlos Oliveira,22,Masculino,São Paulo,Novo
60,João Almeida,64,Masculino,Salvador,Novo
61,Carlos Santos,22,Masculino,Belo Horizonte,Ativo
62,Maria Lima,68,Masculino,Salvador,Ativo
63,Francisca Oliveira,68,Feminino,Salvador,Novo
64,Juliana Lima,64,Feminino,São Paulo,Inativo
65,Ana Almeida,46,Feminino,Curitiba,Novo
66,Carlos Almeida,27,Masculino,Belo Horizonte,Inativo
67,Lucas Fernandes,25,Feminino,Salvador,Novo
68,Pedro Pereira,63,Masculino,Rio de Janeiro,VIP
69,Camila Lima,56,Feminino,Salvador,Novo
70,João Souza,54,Masculino,São Paulo,Ativo
71,Pedro Gomes,69,Feminino,Salvador,Inativo
72,Carlos Almeida,54,Masculino,São Paulo,Inativo
73,Camila Fernandes,19,Masculino,Curitiba,Ativo
74,Ana Silva,39,Feminino,Rio de Janeiro,VIP
75,Paulo Santos,32,Masculino,Belo Horizonte,Ativo
76,Francisca Oliveira,27,Feminino,Rio de Janeiro,VIP
77,Ana Oliveira,22,Masculino,Rio de Janeiro,Ativo
78,Camila Santos,34,Masculino,Salvador,VIP
79,Maria Santos,53,Masculino,São Paulo,VIP
80,Camila Fernandes,57,Masculino,São Paulo,Novo
81,Maria Costa,34,Feminino,Rio de Janeiro,Inativo
82,Paulo Oliveira,61,Feminino,Salvador,VIP
83,Maria Pereira,27,Masculino,Belo Horizonte,VIP
84,Camila Pereira,44,Feminino,São Paulo,VIP
85,Carlos Lima,39,Masculino,Belo Horizonte,VIP
86,Ana Silva,34,Masculino,Belo Horizonte,Ativo
87,Carlos Gomes,57,Feminino,Rio de Janeiro,Inativo
88,Juliana Santos,64,Masculino,Curitiba,Inativo
89,Francisca Silva,50,Feminino,Curitiba,Novo
90,Pedro Gomes,54,Feminino,Belo Horizonte,Inativo
91,Ana Santos,64,Feminino,Curitiba,Novo
92,Ana Almeida,47,Feminino,Curitiba,Ativo
93,Maria Costa,27,Feminino,Rio de Janeiro,Novo
94,Pedro Souza,62,Masculino,São Paulo,Inativo
95,Camila Pereira,19,Masculino,Salvador,VIP
96,João Silva,50,Feminino,São Paulo,VIP
97,Pedro Pereira,41,Feminino,Belo Horizonte,Inativo
98,Lucas Silva,26,Masculino,São Paulo,Inativo
99,Pedro Santos,23,Feminino,São Paulo,Ativo
100,Ana Costa,24,Masculino,Belo Horizonte,VIP
101,Francisca Oliveira,68,Masculino,Salvador,Ativo
102,Ana Fernandes,35,Masculino,Curitiba,VIP
103,Francisca Fernandes,69,Feminino,São Paulo,Inativo
104,Juliana Silva,18,Masculino,São Paulo,Ativo
105,João Gomes,59,Feminino,Salvador,Inativo
106,Lucas Souza,64,Feminino,Rio de Janeiro,Inativo
107,Camila Almeida,59,Masculino,Rio de Janeiro,Ativo
108,Lucas Silva,61,Masculino,Curitiba,VIP
109,Ana Pereira,27,Feminino,Curitiba,Ativo
110,Ana Oliveira,22,Masculino,Salvador,Ativo
111,Carlos Oliveira,30,Feminino,Belo Horizonte,Novo
112,Lucas Pereira,55,Feminino,Rio de Janeiro,Inativo
113,Paulo Costa,36,Feminino,Rio de Janeiro,VIP
114,Pedro Oliveira,22,Feminino,Rio de Janeiro,Inativo
115,Ana Silva,64,Feminino,Belo Horizonte,VIP
116,Paulo Gomes,23,Masculino,Salvador,Inativo
117,João Silva,60,Feminino,Salvador,Ativo
118,Carlos Pereira,42,Feminino,Curitiba,Inativo
119,Lucas Oliveira,36,Feminino,Rio de Janeiro,VIP
120,Maria Pereira,63,Masculino,São Paulo,Inativo
121,Juliana Almeida,32,Masculino,Belo Horizonte,Novo
122,João Gomes,52,Feminino,Salvador,Novo
123,João Oliveira,25,Masculino,Rio de Janeiro,VIP
124,Pedro Costa,56,Feminino,Salvador,VIP
125,Maria Almeida,56,Feminino,Rio de Janeiro,Novo
126,João Fernandes,50,Feminino,Belo Horizonte,Inativo
127,Juliana Silva,64,Masculino,São Paulo,Ativo
128,Francisca Silva,41,Masculino,Salvador,VIP
129,João Souza,55,Feminino,São Paulo,Ativo
130,Francisca Almeida,25,Masculino,Curitiba,VIP
131,Ana Gomes,21,Masculino,Rio de Janeiro,Novo
132,Juliana Lima,22,Feminino,Rio de Janeiro,Ativo
133,Juliana Pereira,44,Feminino,Curitiba,VIP
134,Pedro Lima,49,Feminino,Rio de Janeiro,Novo
135,Camila Fernandes,46,Masculino,Curitiba,VIP
136,Pedro Oliveira,49,Masculino,Belo Horizonte,Inativo
137,Ana Almeida,61,Masculino,Rio de Janeiro,VIP
138,João Pereira,57,Masculino,Curitiba,Inativo
139,Camila Fernandes,54,Masculino,Salvador,Novo
140,Paulo Lima,61,Feminino,Salvador,Novo
141,Juliana Souza,49,Feminino,Salvador,Novo
142,Carlos Santos,40,Masculino,Rio de Janeiro,Ativo
143,Lucas Souza,57,Masculino,Belo Horizonte,Inativo
144,Camila Oliveira,51,Feminino,Curitiba,Inativo
145,João Souza,54,Feminino,Salvador,Novo
146,Paulo Oliveira,31,Feminino,Curitiba,Ativo
147,Pedro Lima,55,Feminino,São Paulo,Ativo
148,Maria Almeida,53,Feminino,Rio de Janeiro,VIP
149,João Gomes,44,Masculino,Rio de Janeiro,VIP
150,Pedro Silva,48,Feminino,São Paulo,Ativo
151,Juliana Gomes,64,Masculino,Salvador,Ativo
152,Ana Lima,47,Feminino,Curitiba,Ativo
153,Paulo Lima,35,Masculino,Salvador,VIP
154,Pedro Lima,45,Masculino,Belo Horizonte,Ativo
155,Juliana Silva,64,Feminino,São Paulo,Inativo
156,Ana Fernandes,37,Feminino,Curitiba,Inativo
157,Maria Almeida,68,Feminino,Salvador,Ativo
158,Pedro Almeida,28,Masculino,Salvador,Novo
159,Ana Costa,23,Feminino,Belo Horizonte,Inativo
160,Maria Almeida,67,Masculino,Belo Horizonte,Inativo
161,Ana Oliveira,57,Feminino,Belo Horizonte,Novo
162,Juliana Silva,40,Masculino,Curitiba,Ativo
163,Maria Costa,24,Feminino,São Paulo,Novo
164,Juliana Santos,68,Masculino,Rio de Janeiro,Ativo
165,Paulo Lima,32,Masculino,Rio de Janeiro,Novo
166,João Costa,68,Feminino,São Paulo,VIP
167,Paulo Lima,23,Feminino,Belo Horizonte,Ativo
168,Ana Lima,28,Masculino,Curitiba,Novo
169,Paulo Santos,30,Feminino,Rio de Janeiro,VIP
170,Lucas Santos,39,Feminino,Curitiba,Novo
171,Pedro Souza,47,Masculino,Salvador,Inativo
172,Lucas Pereira,21,Feminino,Salvador,Ativo
173,Juliana Pereira,54,Masculino,Belo Horizonte,Novo
174,Juliana Souza,46,Masculino,São Paulo,Inativo
175,Pedro Costa,49,Masculino,Rio de Janeiro,Inativo
176,Carlos Costa,69,Feminino,Curitiba,VIP
177,João Fernandes,34,Masculino,Belo Horizonte,Ativo
178,Lucas Pereira,35,Masculino,Curitiba,VIP
179,Camila Santos,42,Masculino,Curitiba,Novo
180,Ana Almeida,45,Feminino,Belo Horizonte,Inativo
181,Paulo Gomes,51,Masculino,Curitiba,Ativo
182,Carlos Fernandes,39,Masculino,Salvador,Inativo
183,Pedro Almeida,63,Masculino,Belo Horizonte,Novo
184,Ana Pereira,57,Masculino,Rio de Janeiro,Inativo
185,Maria Gomes,66,Feminino,São Paulo,VIP
186,Carlos Silva,64,Feminino,Salvador,Ativo
187,Pedro Pereira,27,Masculino,Salvador,Ativo
188,Lucas Costa,44,Masculino,Belo Horizonte,Ativo
189,Ana Santos,53,Feminino,Belo Horizonte,Novo
190,João Lima,67,Feminino,Belo Horizonte,Novo
191,Francisca Fernandes,24,Masculino,São Paulo,Novo
192,Juliana Silva,55,Feminino,São Paulo,Inativo
193,Juliana Santos,64,Masculino,Salvador,Novo
194,João Almeida,34,Masculino,Rio de Janeiro,Inativo
195,Lucas Pereira,59,Masculino,Salvador,VIP
196,Lucas Costa,63,Masculino,Rio de Janeiro,Inativo
197,Paulo Costa,28,Masculino,Salvador,Ativo
198,Juliana Fernandes,61,Feminino,Curitiba,Inativo
199,Paulo Fernandes,30,Feminino,São Paulo,Inativo
200,Pedro Oliveira,20,Masculino,Rio de Janeiro,Novo
201,Juliana Gomes,24,Masculino,Rio de Janeiro,VIP
202,João Santos,59,Feminino,Salvador,Ativo
203,Carlos Fernandes,36,Masculino,Rio de Janeiro,Novo
204,Lucas Pereira,29,Feminino,Rio de Janeiro,Novo
205,Paulo Souza,47,Feminino,São Paulo,Ativo
206,Pedro Costa,44,Masculino,São Paulo,Novo
207,Ana Fernandes,21,Feminino,São Paulo,Novo
208,Juliana Almeida,42,Masculino,Rio de Janeiro,Ativo
209,Juliana Pereira,27,Masculino,Salvador,Ativo
210,Paulo Lima,22,Masculino,Salvador,Inativo
211,Camila Souza,54,Masculino,Belo Horizonte,Novo
212,Ana Silva,44,Masculino,Salvador,VIP
213,Lucas Lima,66,Masculino,Belo Horizonte,Novo
214,Carlos Oliveira,65,Feminino,Curitiba,Ativo
215,Francisca Costa,45,Feminino,Curitiba,Ativo
216,João Pereira,53,Feminino,Salvador,Inativo
217,Carlos Silva,69,Feminino,Salvador,Ativo
218,Juliana Lima,34,Feminino,São Paulo,Ativo
219,Ana Santos,70,Masculino,Curitiba,VIP
220,João Oliveira,51,Masculino,Curitiba,Novo
221,Paulo Almeida,64,Masculino,Curitiba,Novo
222,João Lima,23,Masculino,Salvador,Novo
223,Pedro Almeida,48,Feminino,Curitiba,VIP
224,Camila Pereira,30,Feminino,Rio de Janeiro,Ativo
225,Juliana Pereira,59,Feminino,São Paulo,VIP
226,Ana Gomes,37,Masculino,Salvador,Ativo
227,Camila Oliveira,47,Feminino,Belo Horizonte,Novo
228,João Costa,47,Masculino,Rio de Janeiro,Novo
229,Paulo Fernandes,24,Feminino,São Paulo,Novo
230,Maria Pereira,27,Feminino,Belo Horizonte,Inativo
231,Juliana Santos,42,Feminino,Belo Horizonte,VIP
232,Maria Silva,38,Feminino,Salvador,Inativo
233,Camila Fernandes,64,Feminino,Belo Horizonte,Novo
234,Paulo Pereira,44,Feminino,Salvador,VIP
235,Juliana Gomes,27,Feminino,São Paulo,Ativo
236,Lucas Pereira,38,Feminino,Salvador,Inativo
237,Lucas Lima,56,Feminino,Curitiba,Inativo
238,Maria Pereira,49,Feminino,Salvador,VIP
239,Francisca Lima,70,Feminino,Rio de Janeiro,VIP
240,Juliana Pereira,27,Masculino,Rio de Janeiro,Novo
241,Maria Gomes,20,Masculino,Belo Horizonte,Novo
242,Paulo Souza,67,Masculino,Salvador,Ativo
243,Pedro Fernandes,21,Feminino,Salvador,Inativo
244,João Santos,25,Feminino,Curitiba,Ativo
245,Carlos Lima,44,Masculino,Rio de Janeiro,Inativo
246,Lucas Lima,25,Feminino,Curitiba,Inativo
247,Lucas Fernandes,25,Masculino,Curitiba,VIP
248,Ana Fernandes,26,Feminino,São Paulo,Novo
249,João Costa,28,Masculino,São Paulo,Inativo
250,Francisca Pereira,46,Masculino,São Paulo,VIP
251,Juliana Silva,65,Masculino,Rio de Janeiro,VIP
252,Ana Gomes,35,Feminino,Rio de Janeiro,Ativo
253,Juliana Almeida,43,Feminino,São Paulo,Ativo
254,Paulo Silva,51,Feminino,Rio de Janeiro,Inativo
255,Lucas Lima,37,Masculino,Rio de Janeiro,Novo
256,Carlos Santos,59,Feminino,Belo Horizonte,VIP
257,Carlos Oliveira,53,Feminino,Salvador,Ativo
258,João Costa,69,Feminino,Rio de Janeiro,Novo
259,Pedro Souza,46,Feminino,Belo Horizonte,Novo
260,Juliana Almeida,21,Masculino,São Paulo,Inativo
261,Paulo Gomes,38,Feminino,Curitiba,Inativo
262,Ana Almeida,64,Feminino,Belo Horizonte,Inativo
263,Paulo Costa,59,Feminino,Curitiba,VIP
264,Lucas Almeida,49,Masculino,Salvador,VIP
265,Lucas Silva,53,Masculino,Rio de Janeiro,Ativo
266,Lucas Almeida,66,Masculino,Curitiba,Inativo
267,Maria Souza,70,Feminino,Curitiba,Novo
268,Juliana Silva,29,Feminino,Rio de Janeiro,Inativo
269,Pedro Souza,21,Feminino,São Paulo,Ativo
270,Pedro Oliveira,63,Feminino,Curitiba,Novo
271,Juliana Souza,37,Masculino,Belo Horizonte,VIP
272,Carlos Almeida,42,Masculino,Curitiba,VIP
273,Juliana Santos,25,Masculino,São Paulo,Novo
274,Maria Santos,47,Masculino,Rio de Janeiro,Inativo
275,Maria Gomes,55,Feminino,São Paulo,VIP
276,Juliana Pereira,59,Feminino,Belo Horizonte,Novo
277,Francisca Santos,63,Masculino,Salvador,VIP
278,Ana Pereira,48,Feminino,Belo Horizonte,Ativo
279,Francisca Costa,37,Feminino,Rio de Janeiro,Novo
280,Maria Silva,36,Feminino,Salvador,Novo
281,Carlos Fernandes,36,Masculino,São Paulo,Inativo
282,Pedro Silva,49,Feminino,Curitiba,Inativo
283,Pedro Lima,43,Masculino,Curitiba,Inativo
284,Francisca Silva,42,Masculino,Belo Horizonte,Ativo
285,Camila Costa,29,Feminino,Belo Horizonte,VIP
286,Camila Costa,42,Feminino,Belo Horizonte,VIP
287,Paulo Costa,42,Feminino,Salvador,VIP
288,Pedro Oliveira,67,Masculino,Rio de Janeiro,VIP
289,Ana Santos,51,Feminino,Salvador,Novo
290,Lucas Fernandes,59,Masculino,Salvador,Inativo
291,Maria Gomes,20,Masculino,Curitiba,Ativo
292,Pedro Oliveira,35,Feminino,Rio de Janeiro,Novo
293,Lucas Costa,42,Feminino,Rio de Janeiro,VIP
294,Juliana Pereira,58,Masculino,Curitiba,VIP
295,Carlos Costa,56,Feminino,Salvador,VIP
296,Ana Fernandes,32,Masculino,São Paulo,Ativo
297,Lucas Gomes,55,Feminino,Rio de Janeiro,VIP
298,Juliana Lima,61,Feminino,Curitiba,VIP
299,Juliana Gomes,33,Feminino,Salvador,Novo
300,Paulo Lima,44,Feminino,Curitiba,Novo
301,Francisca Costa,36,Masculino,Belo Horizonte,Novo
302,Francisca Gomes,32,Feminino,Salvador,Ativo
303,Francisca Costa,34,Feminino,Belo Horizonte,Ativo
304,Carlos Gomes,19,Feminino,Belo Horizonte,Novo
305,Pedro Oliveira,49,Feminino,Curitiba,Novo
306,Camila Lima,26,Masculino,Curitiba,VIP
307,Ana Almeida,30,Feminino,Belo Horizonte,Inativo
308,João Costa,47,Masculino,Rio de Janeiro,Ativo
309,Ana Lima,33,Masculino,São Paulo,Inativo
310,Lucas Gomes,23,Feminino,Curitiba,VIP
311,Lucas Pereira,30,Masculino,São Paulo,Novo
312,Juliana Silva,18,Feminino,Rio de Janeiro,Novo
313,Maria Almeida,51,Feminino,Salvador,Novo
314,Juliana Almeida,33,Masculino,Curitiba,Inativo
315,Francisca Pereira,18,Masculino,Belo Horizonte,Inativo
316,Camila Oliveira,58,Masculino,Salvador,Inativo
317,João Santos,60,Feminino,Belo Horizonte,VIP
318,Paulo Lima,61,Feminino,Belo Horizonte,Inativo
319,Camila Fernandes,58,Feminino,Rio de Janeiro,VIP
320,Maria Costa,26,Masculino,Salvador,Ativo
321,Maria Costa,37,Masculino,Rio de Janeiro,Novo
322,Carlos Fernandes,59,Feminino,Rio de Janeiro,Novo
323,Maria Oliveira,60,Masculino,São Paulo,Ativo
324,Camila Fernandes,19,Feminino,São Paulo,Novo
325,Francisca Costa,22,Feminino,Rio de Janeiro,VIP
326,Paulo Fernandes,62,Feminino,Rio de Janeiro,VIP
327,Paulo Lima,69,Masculino,São Paulo,Novo
328,Maria Oliveira,25,Feminino,Curitiba,Ativo
329,Ana Lima,45,Masculino,Curitiba,VIP
330,Lucas Souza,57,Feminino,Salvador,Ativo
331,João Santos,66,Masculino,Rio de Janeiro,Inativo
332,Camila Silva,19,Feminino,Rio de Janeiro,Novo
333,Juliana Costa,40,Masculino,Curitiba,Inativo
334,Maria Fernandes,43,Masculino,Curitiba,Inativo
335,Pedro Pereira,49,Feminino,Curitiba,Ativo
336,Francisca Silva,69,Feminino,Salvador,Novo
337,Ana Oliveira,52,Feminino,Curitiba,VIP
338,Francisca Silva,39,Masculino,Belo Horizonte,VIP
339,Lucas Fernandes,41,Masculino,Belo Horizonte,VIP
340,Lucas Gomes,21,Feminino,Belo Horizonte,Novo
341,Lucas Pereira,35,Masculino,Curitiba,Inativo
342,Pedro Almeida,37,Feminino,Belo Horizonte,Novo
343,Camila Lima,53,Feminino,Curitiba,Novo
344,Juliana Lima,24,Feminino,Curitiba,VIP
345,Camila Lima,70,Masculino,Curitiba,VIP
346,João Costa,23,Feminino,Rio de Janeiro,VIP
347,Juliana Oliveira,44,Masculino,Curitiba,Inativo
348,Maria Costa,36,Feminino,Rio de Janeiro,Ativo
349,Juliana Gomes,53,Feminino,Curitiba,Ativo
350,Camila Silva,42,Feminino,São Paulo,Ativo
351,Camila Almeida,20,Masculino,Belo Horizonte,Inativo
352,João Costa,63,Masculino,Curitiba,Inativo
353,Paulo Lima,35,Feminino,Salvador,VIP
354,Juliana Pereira,39,Masculino,Rio de Janeiro,Inativo
355,Juliana Fernandes,41,Masculino,Belo Horizonte,Ativo
356,Camila Souza,18,Masculino,Belo Horizonte,VIP
357,Ana Costa,50,Feminino,Salvador,VIP
358,Francisca Oliveira,26,Feminino,Curitiba,Inativo
359,Paulo Fernandes,37,Feminino,Belo Horizonte,Inativo
360,Francisca Souza,46,Masculino,São Paulo,Ativo
361,Maria Silva,70,Masculino,Rio de Janeiro,VIP
362,Lucas Costa,59,Feminino,Salvador,Novo
363,Paulo Costa,51,Feminino,Salvador,Ativo
364,Pedro Oliveira,54,Masculino,Rio de Janeiro,Ativo
365,Ana Souza,30,Feminino,São Paulo,Novo
366,Pedro Costa,21,Feminino,Salvador,Inativo
367,Maria Pereira,62,Feminino,Curitiba,Novo
368,Paulo Santos,23,Masculino,Belo Horizonte,Inativo
369,Pedro Fernandes,64,Masculino,Belo Horizonte,Novo
370,Ana Santos,30,Masculino,Curitiba,VIP
371,Francisca Fernandes,53,Feminino,São Paulo,Novo
372,Ana Almeida,47,Feminino,Rio de Janeiro,Novo
373,Juliana Oliveira,48,Masculino,Rio de Janeiro,Inativo
374,Juliana Lima,37,Masculino,Belo Horizonte,VIP
375,Ana Silva,61,Feminino,Curitiba,Novo
376,Carlos Pereira,32,Feminino,Belo Horizonte,Ativo
377,Lucas Fernandes,22,Masculino,Rio de Janeiro,VIP
378,Ana Pereira,57,Masculino,Belo Horizonte,Novo
379,Camila Fernandes,52,Masculino,Belo Horizonte,Ativo
380,João Costa,47,Masculino,Curitiba,Novo
381,Francisca Santos,56,Feminino,Salvador,Ativo
382,João Silva,68,Feminino,Curitiba,Novo
383,Camila Lima,62,Feminino,Rio de Janeiro,Ativo
384,Francisca Fernandes,32,Masculino,São Paulo,Novo
385,Pedro Santos,61,Feminino,Salvador,Inativo
386,Maria Fernandes,19,Feminino,São Paulo,VIP
387,Paulo Silva,37,Feminino,São Paulo,Ativo
388,Paulo Lima,35,Feminino,Rio de Janeiro,Ativo
389,João Silva,38,Masculino,Salvador,Inativo
390,Paulo Souza,26,Masculino,Curitiba,Novo
391,Pedro Pereira,58,Masculino,Belo Horizonte,VIP
392,Paulo Gomes,66,Masculino,Curitiba,Novo
393,Carlos Santos,33,Feminino,Salvador,VIP
394,Francisca Silva,30,Masculino,Curitiba,Ativo
395,Lucas Almeida,19,Masculino,Curitiba,Novo
396,Juliana Santos,38,Feminino,Rio de Janeiro,Novo
397,João Fernandes,20,Masculino,Rio de Janeiro,Ativo
398,Camila Lima,50,Feminino,São Paulo,Ativo
399,Paulo Oliveira,44,Masculino,São Paulo,Ativo
400,Carlos Pereira,30,Masculino,Curitiba,Inativo
401,Ana Lima,46,Masculino,Salvador,VIP
402,Camila Santos,64,Masculino,Belo Horizonte,Ativo
403,Camila Fernandes,39,Feminino,São Paulo,Ativo
404,Ana Lima,48,Feminino,São Paulo,Ativo
405,Maria Oliveira,43,Feminino,Curitiba,VIP
406,João Oliveira,32,Masculino,São Paulo,Novo
407,Paulo Santos,28,Masculino,Rio de Janeiro,Novo
408,Camila Pereira,24,Masculino,Curitiba,Ativo
409,Ana Oliveira,49,Feminino,São Paulo,Ativo
410,Francisca Fernandes,33,Masculino,Belo Horizonte,VIP
411,Juliana Santos,35,Masculino,São Paulo,Inativo
412,Camila Oliveira,20,Masculino,Belo Horizonte,VIP
413,Pedro Santos,46,Feminino,Salvador,Ativo
414,Paulo Pereira,22,Masculino,São Paulo,Novo
415,Francisca Fernandes,55,Masculino,São Paulo,Inativo
416,Camila Pereira,27,Masculino,Curitiba,Novo
417,Lucas Lima,52,Masculino,Salvador,VIP
418,Paulo Silva,56,Feminino,São Paulo,Inativo
419,Carlos Gomes,52,Masculino,Rio de Janeiro,VIP
420,Paulo Almeida,50,Masculino,Belo Horizonte,VIP
421,Ana Santos,45,Masculino,Belo Horizonte,Novo
422,Camila Costa,50,Feminino,Rio de Janeiro,Ativo
423,João Gomes,64,Feminino,Belo Horizonte,Inativo
424,Juliana Santos,39,Feminino,Curitiba,Inativo
425,Francisca Silva,53,Feminino,Curitiba,Ativo
426,Juliana Costa,48,Masculino,Belo Horizonte,Inativo
427,Maria Lima,39,Feminino,São Paulo,VIP
428,Ana Souza,46,Masculino,São Paulo,Ativo
429,Camila Almeida,32,Feminino,Rio de Janeiro,VIP
430,Camila Gomes,53,Masculino,São Paulo,VIP
431,Francisca Lima,56,Feminino,Belo Horizonte,Novo
432,Ana Lima,63,Masculino,São Paulo,Ativo
433,Ana Almeida,29,Masculino,Salvador,VIP
434,João Santos,59,Feminino,Salvador,VIP
435,Juliana Lima,69,Feminino,Rio de Janeiro,VIP
436,Paulo Santos,43,Masculino,Belo Horizonte,Inativo
437,Camila Santos,20,Masculino,Salvador,Ativo
438,João Gomes,61,Masculino,Salvador,Ativo
439,Carlos Pereira,47,Feminino,Curitiba,Ativo
440,Paulo Costa,28,Feminino,Salvador,Novo
441,João Lima,37,Masculino,São Paulo,Inativo
442,Paulo Gomes,45,Masculino,São Paulo,Inativo
443,Maria Silva,23,Masculino,São Paulo,Novo
444,Lucas Gomes,45,Masculino,Belo Horizonte,Inativo
445,Paulo Silva,50,Feminino,Belo Horizonte,Inativo
446,Paulo Gomes,46,Masculino,Belo Horizonte,Novo
447,João Lima,50,Masculino,Curitiba,VIP
448,Paulo Lima,19,Masculino,Belo Horizonte,Ativo
449,Carlos Almeida,35,Feminino,Belo Horizonte,Novo
450,Carlos Costa,24,Feminino,São Paulo,VIP
451,Juliana Oliveira,59,Masculino,Belo Horizonte,Novo
452,Francisca Souza,57,Masculino,Salvador,VIP
453,Ana Santos,36,Feminino,Salvador,VIP
454,Maria Gomes,37,Masculino,São Paulo,Inativo
455,Pedro Souza,29,Masculino,Salvador,VIP
456,Lucas Pereira,24,Feminino,Salvador,Ativo
457,Paulo Pereira,50,Feminino,Salvador,Ativo
458,Ana Pereira,41,Feminino,Salvador,Novo
459,Paulo Silva,58,Masculino,Curitiba,Ativo
460,Camila Oliveira,69,Feminino,Curitiba,Inativo
461,João Oliveira,22,Feminino,São Paulo,Novo
462,Paulo Silva,56,Feminino,Rio de Janeiro,Ativo
463,Maria Pereira,32,Feminino,São Paulo,Ativo
464,João Silva,70,Masculino,Curitiba,Ativo
465,Paulo Oliveira,18,Masculino,Belo Horizonte,VIP
466,Juliana Gomes,58,Feminino,São Paulo,Inativo
467,Lucas Costa,26,Feminino,Salvador,Novo
468,Pedro Souza,32,Masculino,São Paulo,Novo
469,Juliana Souza,64,Masculino,Belo Horizonte,Ativo
470,João Silva,59,Masculino,Rio de Janeiro,Inativo
471,Paulo Silva,43,Masculino,Curitiba,Ativo
472,Ana Gomes,46,Feminino,Belo Horizonte,Inativo
473,Paulo Costa,46,Feminino,Belo Horizonte,Ativo
474,Ana Almeida,49,Masculino,São Paulo,Ativo
475,Francisca Souza,39,Masculino,Salvador,Inativo
476,Francisca Silva,30,Masculino,Rio de Janeiro,Inativo
477,Lucas Souza,29,Masculino,Belo Horizonte,Inativo
478,Ana Oliveira,34,Feminino,Belo Horizonte,Ativo
479,Pedro Lima,18,Feminino,Rio de Janeiro,VIP
480,João Silva,48,Masculino,Rio de Janeiro,Ativo
481,Pedro Souza,26,Masculino,São Paulo,VIP
482,Carlos Gomes,41,Masculino,São Paulo,Novo
483,Lucas Pereira,22,Feminino,Curitiba,VIP
484,Juliana Gomes,21,Feminino,São Paulo,Novo
