ID_Venda;Data_Venda;Produto;Categoria;Quantidade;Preco_Unitario;Desconto;Cliente;Cidade;Estado;Forma_Pagamento;Valor_Total
39;2023-06-21;Headset;Eletrônicos;5;3086.73;0.21;Brandon Ross;North Christopher;Nebraska;Cartão de Crédito;12192.58
40;2024-06-09;Mouse;Eletrônicos;9;917.38;0.14;Brent Cooper;Sandraberg;Maine;Pix;7100.52
41;2024-07-21;Smartphone;Eletrônicos;1;2601.88;0.2;Jill Baker;South Anthony;Vermont;Boleto;2081.5
42;2024-05-05;Teclado;Eletrônicos;5;3736.65;0.01;Nicholas Shah;New Douglas;Florida;Pix;18496.42
43;2024-10-08;Smartphone;Eletrônicos;4;1330.43;0.08;Rachel Fisher;New Cameronland;Washington;Cartão de Débito;4895.98
44;2023-04-09;Smartphone;Acessórios;7;4951.32;0.0;Kenneth Romero;Smithborough;Alaska;Pix;34659.24
45;2024-09-22;Teclado;Eletrônicos;3;4264.63;0.18;Darren Gordon;New Johnberg;Montana;Pix;10490.99
46;2023-01-26;Notebook;Acessórios;3;321.41;0.16;David Randolph;South Michele;Pennsylvania;Pix;809.95
47;2022-12-02;Mouse;Acessórios;9;4870.71;0.24;John Sanders;New Cherylview;Virginia;Cartão de Crédito;33315.66
48;2024-11-14;Notebook;Eletrônicos;5;3034.82;0.01;Paige Chavez;New Christiemouth;Ohio;Cartão de Crédito;15022.36
49;2024-09-12;Teclado;Acessórios;1;1929.14;0.14;Dillon Flores;New Erinfurt;Indiana;Pix;1659.06
50;2023-09-10;Teclado;Acessórios;5;4509.54;0.26;Stephen Boyer;Davisview;West Virginia;Pix;16685.3
51;2024-04-30;Smartphone;Eletrônicos;6;619.52;0.12;Teresa Brown;Hernandezfort;Minnesota;Boleto;3271.07
52;2024-02-14;Tablet;Acessórios;9;1765.44;0.11;Barry Burns;Lake Ashley;Connecticut;Pix;14141.17
53;2023-11-18;Tablet;Eletrônicos;5;4118.97;0.29;David Arnold;Wrightville;California;Cartão de Crédito;14622.34
54;2024-07-21;Monitor;Acessórios;1;1630.63;0.17;Phyllis Perez;Port Christopherville;Minnesota;Cartão de Débito;1353.42
55;2023-01-22;Tablet;Eletrônicos;4;3036.45;0.06;Christine Shannon;West Danielhaven;Vermont;Cartão de Crédito;11417.05
56;2023-07-22;Headset;Eletrônicos;3;109.74;0.02;Elizabeth Barrett;Port Nicholas;North Carolina;Boleto;322.64
57;2023-11-20;Tablet;Eletrônicos;7;845.23;0.04;Charles Sanford;North Kathleenbury;Connecticut;Boleto;5679.95
58;2023-12-26;Mouse;Acessórios;5;3598.57;0.22;Tanya Price;Port Kevin;California;Boleto;14034.42
59;2024-06-13;Monitor;Acessórios;10;431.0;0.04;Erica Lee;Chadland;Illinois;Boleto;4137.6
60;2024-06-02;Teclado;Eletrônicos;8;4856.01;0.29;Kimberly Cooper;Craigton;Kansas;Cartão de Crédito;27582.14
61;2023-02-07;Headset;Acessórios;8;304.22;0.13;Mr. Kevin Simpson;Lake Vanessaberg;Wyoming;Pix;2117.37
62;2024-05-03;Teclado;Eletrônicos;8;2725.53;0.18;Penny Stone;Port Staceychester;California;Pix;17879.48
63;2024-03-04;Mouse;Eletrônicos;3;4116.93;0.25;Diane Medina;West Stephanie;Pennsylvania;Boleto;9263.09
64;2023-11-16;Headset;Acessórios;3;691.51;0.14;Megan Bray;Melissaberg;Minnesota;Cartão de Crédito;1784.1
65;2024-05-27;Mouse;Acessórios;5;1749.1;0.14;Wendy Smith;Peterberg;Virginia;Boleto;7521.13
66;2024-04-15;Smartphone;Acessórios;2;4768.94;0.15;Makayla Garcia;Henrymouth;New Hampshire;Cartão de Crédito;8107.2
67;2023-09-01;Smartphone;Acessórios;9;2410.63;0.17;Jessica Steele;Lake Douglasburgh;Michigan;Cartão de Crédito;18007.41
68;2023-05-08;Mouse;Acessórios;9;308.13;0.24;Alyssa Thornton;Port Amanda;Arkansas;Pix;2107.61
69;2024-01-05;Smartphone;Acessórios;5;1801.12;0.25;Brooke Choi;Port Christinehaven;Alabama;Pix;6754.2
70;2024-08-22;Mouse;Acessórios;2;4274.83;0.11;Melissa Hardin;Laurenfurt;New Mexico;Pix;7609.2
71;2023-10-03;Mouse;Eletrônicos;8;2628.25;0.01;David Bryan;New John;Wyoming;Cartão de Débito;20815.74
72;2024-07-16;Mouse;Acessórios;6;1882.72;0.15;Mathew Barnes;Gomeztown;New York;Boleto;9601.87
73;2023-03-08;Notebook;Eletrônicos;3;3750.09;0.13;Lisa Kim;Fleminghaven;Texas;Boleto;9787.73
74;2024-08-08;Mouse;Eletrônicos;5;2572.16;0.06;Tommy Black;New Anthonytown;Wisconsin;Boleto;12089.15
75;2023-12-29;Mouse;Acessórios;9;1175.7;0.09;Lindsay Martinez MD;Terryville;North Dakota;Boleto;9628.98
76;2024-03-10;Monitor;Eletrônicos;9;2569.3;0.17;Albert Hernandez;Fullershire;Hawaii;Cartão de Débito;19192.67
77;2023-12-04;Notebook;Eletrônicos;9;4722.17;0.07;Alisha White;Janetfort;Montana;Pix;39524.56
78;2024-06-26;Smartphone;Acessórios;7;654.46;0.27;Diane Castillo;Vickiborough;Kentucky;Cartão de Crédito;3344.29
79;2023-05-13;Headset;Acessórios;5;4271.35;0.15;Mary Chavez;Beltranville;West Virginia;Pix;18153.24
80;2024-01-25;Notebook;Eletrônicos;5;3731.27;0.09;Kara Arnold;Michelleberg;Indiana;Cartão de Débito;16977.28
81;2023-07-16;Headset;Eletrônicos;10;4871.28;0.12;Becky King;South Maria;Maine;Pix;42867.26
82;2023-02-12;Teclado;Eletrônicos;1;1395.17;0.07;Jason Walker;Millerstad;Wisconsin;Cartão de Débito;1297.51
83;2024-08-26;Tablet;Acessórios;1;386.54;0.01;Brian Odonnell;Pooleville;New Jersey;Pix;382.67
84;2023-03-31;Smartphone;Eletrônicos;7;4279.85;0.16;Adam Allen;Katieton;Arizona;Cartão de Crédito;25165.52
85;2024-08-28;Monitor;Acessórios;10;2107.77;0.29;Crystal Perkins;Lake Susan;Illinois;Boleto;14965.17
86;2023-09-14;Mouse;Acessórios;8;1200.59;0.28;David Nguyen;East Abigailtown;Alabama;Cartão de Crédito;6915.4
87;2023-05-26;Monitor;Acessórios;1;2617.41;0.19;Matthew Maxwell;Johnsonton;North Dakota;Boleto;2120.1
88;2023-02-06;Tablet;Acessórios;8;2697.0;0.06;James Lester;Lake Davidview;Wyoming;Cartão de Crédito;20281.44
89;2022-12-28;Monitor;Acessórios;10;1330.65;0.08;David Phelps;North David;Washington;Pix;12241.98
90;2023-06-29;Notebook;Eletrônicos;8;1562.37;0.03;Martin Patel;Donnamouth;Vermont;Pix;12123.99
91;2023-11-12;Notebook;Eletrônicos;3;4775.76;0.06;Larry Johnson;Saunderstown;New Hampshire;Boleto;13467.64
92;2024-02-11;Headset;Eletrônicos;10;4517.1;0.18;Dr. Ashley Becker;South Crystal;Connecticut;Cartão de Crédito;37040.22
93;2024-07-08;Smartphone;Eletrônicos;3;4386.44;0.24;Anthony Murillo;Gomezmouth;Georgia;Cartão de Débito;10001.08
94;2023-08-11;Notebook;Eletrônicos;8;4259.18;0.07;Joel Anderson;Shahberg;West Virginia;Cartão de Crédito;31688.3
95;2024-06-25;Tablet;Acessórios;3;1601.09;0.27;Christina Cooley;Alexandermouth;Maine;Pix;3506.39
96;2023-10-07;Headset;Eletrônicos;9;3001.46;0.23;Shawn Briggs;Jamesmouth;Tennessee;Cartão de Crédito;20800.12
97;2024-08-21;Notebook;Acessórios;2;4315.67;0.05;Andrea Espinoza;New Emily;Georgia;Pix;8199.77
98;2023-12-18;Mouse;Eletrônicos;4;1633.78;0.23;Jeffery Glenn;East Tracyfort;New Jersey;Pix;5032.04
99;2024-04-30;Headset;Acessórios;1;1140.6;0.26;Michael Porter;Courtneyland;Connecticut;Cartão de Débito;844.04
100;2022-12-28;Smartphone;Acessórios;4;2257.58;0.06;Jonathan Brown;South Erikahaven;Colorado;Boleto;8488.5
101;2023-02-19;Notebook;Eletrônicos;9;1062.66;0.14;Kelsey Foster;Cherryburgh;Michigan;Boleto;8224.99
102;2023-02-25;Tablet;Acessórios;8;1948.97;0.26;Lisa Mathews;South Robertstad;Washington;Boleto;11537.9
103;2024-01-30;Tablet;Acessórios;8;849.58;0.13;Katherine Barrett;Ryanside;Wisconsin;Boleto;5913.08
104;2024-03-20;Headset;Acessórios;5;909.7;0.08;Elizabeth Russell;East Richardstad;Delaware;Cartão de Débito;4184.62
105;2023-05-03;Smartphone;Eletrônicos;10;1067.01;0.18;David Davis;Foxport;Alabama;Boleto;8749.48
106;2024-08-02;Smartphone;Acessórios;9;1068.11;0.11;Matthew Warner;Michelefurt;Arkansas;Cartão de Crédito;8555.56
107;2024-05-04;Tablet;Eletrônicos;7;2280.84;0.26;Steven Vasquez;Ericton;Virginia;Cartão de Débito;11814.75
108;2024-02-09;Monitor;Eletrônicos;9;3006.04;0.06;Alexander Harper;Ramosport;Kentucky;Boleto;25431.1
109;2023-09-21;Notebook;Acessórios;7;4512.29;0.25;Doris Barnes;Lake Theodoreville;Iowa;Cartão de Débito;23689.52
110;2024-10-02;Tablet;Acessórios;2;3891.71;0.03;Jessica Mccarty;Port Jonathon;Louisiana;Cartão de Débito;7549.92
111;2023-01-08;Teclado;Acessórios;8;2559.46;0.1;George Collins;Johnsonstad;Nebraska;Cartão de Crédito;18428.11
112;2023-06-29;Smartphone;Eletrônicos;5;2478.35;0.25;Jeanette Buchanan;Nancyland;Massachusetts;Boleto;9293.81
113;2024-05-06;Mouse;Acessórios;7;554.1;0.13;Hunter Anderson;Port Karenmouth;Wisconsin;Cartão de Crédito;3374.47
114;2024-02-24;Teclado;Eletrônicos;4;3114.76;0.02;Ariel Nelson;Lake Cherylview;Alabama;Boleto;12209.86
115;2023-07-08;Smartphone;Eletrônicos;6;780.9;0.05;Sherry Chandler;Staffordborough;Hawaii;Boleto;4451.13
116;2024-07-30;Teclado;Acessórios;2;1256.02;0.11;Brian Anderson;Torresville;Idaho;Cartão de Débito;2235.72
117;2023-06-29;Tablet;Eletrônicos;4;725.62;0.19;Mr. Randall Parks;North Donald;Maryland;Cartão de Débito;2351.01
118;2023-12-09;Notebook;Eletrônicos;2;4633.25;0.28;Robert Frederick;Port Deborah;Rhode Island;Cartão de Débito;6671.88
119;2023-05-05;Smartphone;Acessórios;7;1989.0;0.2;Caitlyn Roberts;Wrightland;Florida;Cartão de Débito;11138.4
120;2024-02-03;Notebook;Acessórios;2;4524.36;0.02;Thomas Gregory;Shellyfurt;Wisconsin;Cartão de Débito;8867.75
121;2023-03-29;Mouse;Acessórios;4;675.17;0.15;Chelsea Henderson;Port Megan;Wyoming;Pix;2295.58
122;2023-02-10;Notebook;Eletrônicos;7;1883.11;0.09;Lisa Williams;Jamesmouth;Montana;Pix;11995.41
123;2024-08-22;Headset;Eletrônicos;1;3822.57;0.27;Amy Martinez;Hollyton;Louisiana;Cartão de Débito;2790.48
124;2024-05-06;Notebook;Eletrônicos;9;698.67;0.21;Rebecca King;Rogersmouth;Kansas;Cartão de Débito;4967.54
125;2023-08-03;Smartphone;Acessórios;4;695.39;0.01;Christopher Meadows;Debrafort;Indiana;Cartão de Crédito;2753.74
126;2024-07-14;Notebook;Eletrônicos;7;4862.41;0.05;Christopher Rojas;Amandafort;Oklahoma;Cartão de Débito;32335.03
127;2022-12-09;Tablet;Acessórios;7;1833.97;0.22;Julie Collins;New Cesarhaven;Texas;Cartão de Débito;10013.48
128;2023-08-26;Tablet;Acessórios;6;3285.26;0.24;Jake Buchanan;Garrettfurt;Massachusetts;Boleto;14980.79
129;2024-05-26;Mouse;Acessórios;8;3371.7;0.16;Hunter Smith;New Rachelborough;Florida;Pix;22657.82
130;2023-10-11;Smartphone;Acessórios;10;576.21;0.01;Dr. Jeremy Carter DDS;North Jasonmouth;North Carolina;Boleto;5704.48
131;2023-04-28;Smartphone;Eletrônicos;8;1252.94;0.19;Catherine Dominguez;New Timothychester;Massachusetts;Cartão de Crédito;8119.05
132;2023-08-02;Monitor;Acessórios;1;4209.71;0.16;Matthew Davis;Griffinberg;Virginia;Pix;3536.16
133;2024-11-15;Teclado;Acessórios;1;3642.53;0.13;Mitchell Cook;Heatherton;New York;Cartão de Crédito;3169.0
134;2023-03-19;Smartphone;Eletrônicos;7;4385.71;0.17;Daniel Mendoza;Douglasview;Alaska;Cartão de Crédito;25480.98
135;2023-08-29;Tablet;Eletrônicos;10;2600.11;0.16;Mr. Christopher Baker Jr.;Melendezfort;California;Boleto;21840.92
136;2023-08-24;Smartphone;Eletrônicos;8;1491.8;0.05;Leslie Rodriguez;East Christianshire;Maine;Cartão de Crédito;11337.68
137;2023-11-14;Mouse;Eletrônicos;7;1366.34;0.28;Steven Dunn;North Joanna;Kansas;Boleto;6886.35
138;2024-04-13;Teclado;Eletrônicos;4;3633.28;0.13;Erika Garza MD;Johnview;Mississippi;Pix;12643.81
139;2023-02-21;Teclado;Acessórios;2;3371.0;0.24;Krista Allen;South Kenneth;Alaska;Boleto;5123.92
140;2024-08-16;Teclado;Acessórios;2;1895.83;0.22;Nicole Gordon;New Lindseyborough;Washington;Pix;2957.49
141;2023-10-22;Smartphone;Eletrônicos;5;4952.94;0.29;Cynthia Porter;South Samantha;Oregon;Pix;17582.94
142;2024-03-16;Monitor;Eletrônicos;7;3748.49;0.13;Priscilla Santiago;West James;Texas;Cartão de Crédito;22828.3
143;2023-02-08;Teclado;Eletrônicos;8;2142.23;0.15;Felicia Garcia;East Christophermouth;Kentucky;Cartão de Débito;14567.16
144;2022-12-01;Tablet;Eletrônicos;2;496.94;0.02;Mark Gallagher;North Richard;Louisiana;Cartão de Débito;974.0
145;2024-05-18;Monitor;Eletrônicos;1;3162.02;0.25;Teresa Roberts;Maryfurt;Connecticut;Boleto;2371.51
146;2024-05-11;Teclado;Eletrônicos;1;3950.27;0.09;Daniel Berry;Joannatown;Michigan;Pix;3594.75
147;2024-04-22;Teclado;Eletrônicos;10;2118.84;0.2;Janet Thompson;West David;Pennsylvania;Cartão de Débito;16950.72
148;2024-08-14;Headset;Eletrônicos;7;2005.46;0.23;James Lin;Port Jasonview;Kansas;Cartão de Débito;10809.43
149;2024-07-22;Notebook;Eletrônicos;3;4626.59;0.26;Kelly Terry;Watsonhaven;Alabama;Cartão de Crédito;10271.03
150;2024-04-07;Notebook;Eletrônicos;3;4433.94;0.22;Jessica Park;Benjaminshire;Montana;Cartão de Crédito;10375.42
151;2024-09-25;Notebook;Acessórios;1;997.96;0.07;Sarah Wu;Travisfort;Oklahoma;Cartão de Débito;928.1
152;2023-12-03;Monitor;Acessórios;8;4268.67;0.21;Michelle Tate;Port Justinland;Illinois;Cartão de Débito;26977.99
153;2023-12-23;Teclado;Eletrônicos;5;3663.72;0.15;Virginia Rojas;North William;Georgia;Cartão de Débito;15570.81
154;2024-06-19;Tablet;Eletrônicos;4;2658.52;0.05;David Kelly;West Corey;Louisiana;Pix;10102.38
155;2023-11-22;Teclado;Acessórios;6;2972.56;0.09;Sandra Hernandez;Fordland;Rhode Island;Boleto;16230.18
156;2023-08-26;Tablet;Acessórios;10;667.2;0.26;Shawn Ramirez;Emmabury;Illinois;Cartão de Crédito;4937.28
157;2023-10-05;Headset;Acessórios;7;1952.01;0.06;Zachary Cooper;Amandastad;Mississippi;Pix;12844.23
158;2024-08-27;Smartphone;Acessórios;5;3261.96;0.04;Kelly Gonzalez;Davidport;California;Cartão de Débito;15657.41
159;2024-01-04;Mouse;Acessórios;4;2431.04;0.07;Nicole Blair;Harrisfort;Oklahoma;Cartão de Débito;9043.47
160;2023-12-31;Teclado;Eletrônicos;7;1879.23;0.1;Melissa Warren;Michelehaven;Arkansas;Cartão de Débito;11839.15
161;2023-06-16;Mouse;Eletrônicos;8;4861.53;0.23;Travis Bailey;Port Bradfort;Idaho;Cartão de Crédito;29947.02
162;2023-03-05;Headset;Acessórios;10;3330.2;0.28;Joseph Hickman;North Jennifer;New Jersey;Cartão de Débito;23977.44
163;2023-11-01;Teclado;Acessórios;7;1124.35;0.19;April Klein;Bellshire;Montana;Boleto;6375.06
164;2024-11-21;Teclado;Acessórios;9;1192.79;0.11;Debra Williams;Victoriafurt;Indiana;Cartão de Débito;9554.25
165;2022-12-06;Teclado;Acessórios;1;4775.12;0.19;Melanie Owens;Elizabethchester;Minnesota;Boleto;3867.85
166;2024-11-27;Tablet;Acessórios;6;2433.3;0.23;Elizabeth Welch;South Dawnstad;New Jersey;Pix;11241.85
167;2024-07-24;Mouse;Acessórios;1;4777.04;0.04;Lisa Morales;Morrisonchester;Tennessee;Boleto;4585.96
168;2024-08-07;Headset;Eletrônicos;7;4440.06;0.18;Jerry Nelson;East Drew;Arkansas;Cartão de Crédito;25485.94
169;2024-01-06;Notebook;Eletrônicos;9;1803.14;0.09;Kenneth Macias;North Stephanie;West Virginia;Pix;14767.72
170;2024-11-18;Smartphone;Acessórios;7;3842.57;0.17;Tyler Franco;East Jason;Idaho;Pix;22325.33
171;2023-10-29;Tablet;Acessórios;9;2946.6;0.07;James Lewis;Juliemouth;Rhode Island;Boleto;24663.04
172;2024-09-18;Monitor;Eletrônicos;3;2893.6;0.14;David Baker;Collinsmouth;North Carolina;Cartão de Crédito;7465.49
173;2024-02-26;Monitor;Acessórios;6;2973.62;0.05;Robert Padilla;Padillaville;Hawaii;Pix;16949.63
174;2024-09-22;Teclado;Eletrônicos;7;4145.87;0.03;Andrew Ford;Mariabury;South Carolina;Cartão de Crédito;28150.46
175;2024-03-03;Tablet;Eletrônicos;4;3294.83;0.29;Angela Rose;Nguyenstad;Michigan;Cartão de Crédito;9357.32
176;2023-11-23;Tablet;Eletrônicos;4;1878.37;0.24;Charles Martinez;Jasonstad;Texas;Pix;5710.24
177;2024-04-24;Monitor;Eletrônicos;3;2751.36;0.05;Nicole Taylor;Jenniferburgh;North Dakota;Cartão de Crédito;7841.38
178;2023-01-08;Mouse;Eletrônicos;4;1672.54;0.2;Christopher Watkins Jr.;East Kyleton;Ohio;Boleto;5352.13
179;2024-06-26;Teclado;Acessórios;9;1126.04;0.06;Jeremy Heath;Shortville;South Dakota;Cartão de Débito;9526.3
180;2024-11-15;Tablet;Acessórios;5;405.76;0.28;Joseph Stanley;Romeromouth;Nebraska;Boleto;1460.74
181;2024-07-01;Mouse;Acessórios;5;3905.59;0.22;Phillip Chapman;Port Robert;Nebraska;Boleto;15231.8
182;2023-12-13;Notebook;Eletrônicos;2;4237.34;0.16;Jeffrey Hampton;Port Keith;New Jersey;Boleto;7118.73
183;2023-03-26;Smartphone;Eletrônicos;7;4479.32;0.04;Jason Arroyo;New Susan;New Hampshire;Boleto;30101.03
184;2023-01-29;Headset;Eletrônicos;7;618.95;0.29;Yvonne Moore;Anthonyport;Vermont;Boleto;3076.18
185;2023-03-16;Teclado;Eletrônicos;6;1637.21;0.24;Michelle Mckinney;Mendozashire;Idaho;Boleto;7465.68
186;2024-11-19;Teclado;Acessórios;7;2423.86;0.03;Brent Harvey;North Jodi;Washington;Boleto;16458.01
187;2023-05-12;Mouse;Acessórios;6;54.15;0.23;Cindy Lee;Randallview;Vermont;Pix;250.17
188;2023-07-03;Monitor;Eletrônicos;3;4090.86;0.21;Sandra Barnes;West Helenville;Georgia;Boleto;9695.34
189;2023-08-04;Teclado;Eletrônicos;1;3895.83;0.02;Mr. Tony Hughes;Troyton;Wisconsin;Boleto;3817.91
190;2024-11-09;Monitor;Eletrônicos;5;4372.42;0.04;Jennifer Phillips;Port Robert;Vermont;Pix;20987.62
191;2023-08-06;Teclado;Acessórios;4;2818.93;0.08;Jerry Romero;South Hannahstad;Maryland;Cartão de Débito;10373.66
192;2022-12-10;Notebook;Acessórios;7;4587.78;0.09;Jeffrey Anderson;North Timothyside;Rhode Island;Pix;29224.16
193;2024-01-26;Teclado;Eletrônicos;9;4268.69;0.02;Lisa Grant;Tinaborough;Florida;Boleto;37649.85
194;2024-07-23;Smartphone;Acessórios;3;3054.07;0.21;Joseph Singh;South Jessica;South Dakota;Boleto;7238.15
195;2024-07-04;Monitor;Acessórios;8;124.36;0.05;Sonya Hernandez;Hendersonberg;Kentucky;Cartão de Crédito;945.14
196;2023-02-23;Monitor;Eletrônicos;1;2983.75;0.03;Megan Arnold;Taylorfurt;Arizona;Pix;2894.24
197;2024-10-04;Notebook;Acessórios;6;4605.99;0.12;Sergio Alvarado;New Patriciaport;Arizona;Cartão de Débito;24319.63
198;2023-09-01;Notebook;Eletrônicos;9;1035.93;0.06;Robert Bryant;East John;Mississippi;Boleto;8763.97
199;2024-11-14;Mouse;Acessórios;5;4010.42;0.27;Michelle Juarez;Macdonaldport;North Carolina;Cartão de Débito;14638.03
200;2023-07-06;Monitor;Acessórios;10;3119.02;0.05;Robert Adams;Maystad;South Carolina;Pix;29630.69
201;2023-10-15;Monitor;Eletrônicos;9;2431.46;0.13;Roger Gonzalez;Carolland;New Mexico;Boleto;19038.33
202;2023-06-06;Headset;Eletrônicos;4;1410.78;0.07;Mr. Brendan Anderson;Port Ericafurt;North Carolina;Boleto;5248.1
203;2024-10-08;Mouse;Eletrônicos;5;1325.3;0.14;Charles Soto;South Timothyside;Kentucky;Cartão de Débito;5698.79
204;2024-10-29;Mouse;Acessórios;7;4092.12;0.0;Jack Walker;Loganhaven;New Jersey;Pix;28644.84
205;2023-07-21;Mouse;Acessórios;5;4213.94;0.11;Rebecca White;Barrettview;South Dakota;Cartão de Crédito;18752.03
206;2024-11-14;Monitor;Acessórios;1;4040.21;0.14;Mark Alvarado;Lake Ruth;New York;Pix;3474.58
207;2023-03-20;Teclado;Eletrônicos;3;2252.74;0.07;Joseph Hogan;Hayeschester;Alaska;Cartão de Débito;6285.14
208;2023-12-21;Tablet;Acessórios;2;2102.07;0.13;Christine Valdez;Elizabethmouth;Kentucky;Boleto;3657.6
209;2022-12-23;Tablet;Acessórios;9;1725.57;0.3;Anthony Myers;West Alexander;Delaware;Pix;10871.09
210;2023-06-02;Teclado;Eletrônicos;9;55.15;0.02;Sarah Scott;Timfort;Ohio;Pix;486.42
211;2022-12-30;Headset;Acessórios;4;1217.17;0.01;Marcus Roth;Sheppardview;Utah;Cartão de Crédito;4819.99
212;2023-11-08;Smartphone;Acessórios;5;1144.51;0.04;Craig Herring;East Samanthaberg;Delaware;Boleto;5493.65
213;2024-10-01;Notebook;Acessórios;1;3183.89;0.21;Aaron Harrington;New Joyland;California;Pix;2515.27
214;2023-08-26;Tablet;Acessórios;5;4777.62;0.22;Jennifer Brown;East Jacob;California;Boleto;18632.72
215;2024-03-25;Mouse;Acessórios;5;3783.53;0.19;Nicholas Mcdonald;Phillipsburgh;New York;Cartão de Débito;15323.3
